
csched007,-solve,0.11,269.25159
cbs-cta,-guess,0.22,0
markshare_4_0,-guess,0.00,0
lectsched-5-obj,-guess,1.26,0
neos-860300,-guess,1.53,1666.0686
fhnw-binpack4-4,-guess,0.01,0
neos-2978193-inde,-guess,0.11,-2.4185182
gen-ip002,-guess,0.01,-4840.542
proteindesign121hz512p9,-solve,2.20,1423.9044
bnatt500,-guess,0.52,0
neos-827175,-guess,1.39,112.00152
supportcase6,-guess,5.16,45090.732
supportcase33,-guess,3.98,-552.5
var-smallemery-m6j6,-solve,2.09,-156.05627
satellites2-40,-solve,7.39,-30
neos-3555904-turama,-solve,13.17,-41.45
comp21-2idx,-solve,0.88,0
cost266-UUE,-guess,0.48,20161516
uccase9,-guess,15.40,10819.583
neos-3988577-wolgan,-solve,16.35,119
neos-787933,-solve,0.49,3
cost266-UUE,-solve,0.07,20161516
neos-3004026-krka,-guess,0.37,0
cod105,-guess,22.21,-18.285714
sorrell3,-guess,60.39,-512
neos-2978193-inde,-solve,0.15,-2.4185182
gfd-schedulen180f7d50m30k18,-solve,72.15,1
neos-4647030-tutaki,-solve,6.35,26911.642
opm2-z10-s4,-solve,74.70,-46921.508
trento1,-solve,6.09,5182758.8
neos-3216931-puriri,-solve,4.02,58817.353
neos-4387871-tavua,-guess,0.11,10.143845
rocII-5-11,-guess,0.50,-11.94973
seymour1,-guess,1.51,403.84647
neos-2075418-temuka,-guess,124.40,0
neos-827175,-solve,1.40,112.00152
physiciansched6-2,-guess,27.12,43012.5
neos-1122047,-solve,3.63,161
CMS750_4,-guess,0.91,250
h80x6320d,-solve,0.06,5325.1601
blp-ic98,-solve,0.71,4331.1684
fhnw-binpack4-4,-solve,0.01,0
radiationm40-10-02,-guess,1.85,155306.7
neos-5075914-elvire,-solve,0.08,277.34189
bab6,-solve,28.65,-321641.36
sct2,-solve,0.19,-231.11696
ex10,-solve,119.65,100
comp21-2idx,-guess,1.67,0
milo-v12-6-r2-40-1,-guess,0.11,205532.32
neos-1122047,-guess,2.30,161
neos-3046615-murg,-solve,0.00,192
graph20-20-1rand,-guess,0.75,-37
neos-3381206-awhea,-solve,0.11,415.24
drayage-25-23,-solve,0.08,11714.142
supportcase18,-solve,0.19,47.186667
neos-3024952-loue,-guess,1.10,22882
supportcase26,-guess,0.01,1288.1022
graphdraw-domain,-guess,0.01,12672
h80x6320d,-guess,0.90,5325.1601
map10,-solve,33.16,-602.17618
neos-3381206-awhea,-guess,0.18,415.24
satellites2-60-fs,-guess,4.09,-30
neos-3555904-turama,-guess,16.41,-41.45
n5-3,-solve,0.04,2883.8235
snp-02-004-104,-guess,53.78,5.480448e+08
wachplan,-solve,0.21,-9
traininstance2,-solve,0.12,0
CMS750_4,-solve,1.29,250
uccase12,-solve,4.46,11507.285
markshare_4_0,-solve,0.00,0
neos-3024952-loue,-solve,0.54,22882
istanbul-no-cutoff,-solve,2.51,51.11
academictimetablesmall,-solve,3.22,0
neos17,-guess,0.03,0.0006814985
var-smallemery-m6j6,-guess,2.04,-156.05627
s250r10,-solve,368.96,-0.17267703
neos-1171737,-guess,0.40,-195
neos-873061,-solve,112.32,5.5278146
reblock115,-solve,0.20,-39365983
neos-5107597-kakapo,-guess,0.40,0
neos-2746589-doon,-guess,5.97,1985.75
comp07-2idx,-guess,2.71,0
supportcase42,-solve,13.51,7.3435852
neos-4338804-snowy,-guess,0.01,1447
uccase12,-guess,4.39,11507.285
rocI-4-11,-solve,0.15,-11111087
map16715-04,-solve,41.47,-296.2679
neos-3627168-kasai,-solve,0.05,945808.1
nu25-pr12,-guess,0.37,52757.5
ns1644855,-solve,54.54,-1524.3333
nursesched-sprint02,-solve,0.55,54.416667
ran14x18-disj-8,-solve,0.08,3444.4211
chromaticindex1024-7,-guess,306.51,3
wachplan,-guess,0.42,-9
mushroom-best,-guess,3.51,1.2682927e-05
supportcase22,-solve,4.38,0
cryptanalysiskb128n5obj14,-solve,14.69,0
square41,-guess,1514.00,8.8396125
neos-5093327-huahum,-guess,0.94,3934
neos-5052403-cygnet,-solve,686.70,179.50037
gen-ip054,-solve,0.00,6765.209
splice1k1,-solve,42.80,-1646.778
nu25-pr12,-solve,0.08,52757.5
physiciansched3-3,-guess,2506.62,2432694.8
savsched1,-guess,2099.50,217.40357
supportcase6,-solve,12.16,45090.732
supportcase22,-guess,98.57,0
glass-sc,-solve,0.48,14.080296
neos-4300652-rahue,-solve,1.54,0
ran14x18-disj-8,-guess,0.35,3444.4211
mc11,-guess,0.19,608.84434
blp-ar98,-solve,0.63,5891.2266
supportcase40,-guess,3.03,22536.483
s250r10,-guess,337.84,-0.17267704
radiationm18-12-05,-solve,0.86,17554.5
rocII-5-11,-solve,0.52,-11.94973
swath1,-guess,0.05,334.49686
blp-ar98,-guess,0.32,5891.2266
roi5alpha10n8,-solve,6.13,-91.91636
leo1,-solve,0.21,3.8857332e+08
decomp2,-guess,1.61,-160
brazil3,-guess,7.99,2
bppc4-08,-guess,0.05,51.59
neos5,-solve,0.00,13
b1c1s1,-solve,0.05,2866.8562
square47,-guess,8000,99999999
neos-5093327-huahum,-solve,0.90,3934
ns1952667,-solve,0.37,0
traininstance2,-guess,0.12,0
cmflsp50-24-8-8,-solve,1.48,54633109
neos-5188808-nattai,-guess,0.38,0
cvs16r128-89,-guess,0.86,-128
supportcase7,-guess,4.80,-2396.2182
exp-1-500-5-5,-solve,0.01,28427.048
rail01,-solve,184.39,-92.0873
neos17,-solve,0.04,0.0006814985
nexp-150-20-8-5,-solve,0.18,18.226804
sp150x300d,-solve,0.01,4.8911118
exp-1-500-5-5,-guess,0.13,28427.048
graphdraw-domain,-solve,0.01,12672
