air05,-randomSeed 1129972234 dualize 3 crash off dualp pesteep psi -0.5 perturb on presolve on scal auto spars on pertv 50 passp 5 sprint -1 subs 3 duals solve
air05,-randomSeed 1129972234 dualize 1 crash on dualp pesteep psi 0.3 perturb off presolve more scal equi spars on passp 86 subs 3896 duals solve
air04,-randomSeed 1214700210 dualize 2 crash idiot4 dualp partial perturb off presolve more scal dynamics spars off passp -101 subs 741 duals solve
air04,-randomSeed 1214700210 dualize 3 crash off dualp pesteep psi -0.5 perturb on presolve on scal auto spars on pertv 50 passp 5 sprint -1 subs 3 duals solve
air05,-randomSeed 1554221762 dualize 2 crash idiot4 dualp partial perturb off presolve more scal dynamics spars off passp -101 subs 741 duals solve
air05,-randomSeed 1554221762 dualize 3 crash off dualp pesteep psi -0.5 perturb on presolve on scal auto spars on pertv 50 passp 5 sprint -1 subs 3 duals solve
air03,-randomSeed 592524708 dualize 3 crash off dualp pesteep psi -0.5 perturb on presolve on scal auto spars on pertv 50 passp 5 sprint -1 subs 3 duals solve
air03,-randomSeed 592524708 dualize 2 crash idiot4 dualp partial perturb off presolve more scal dynamics spars off passp -101 subs 741 duals solve
air03,-randomSeed 1000934052 dualize 2 crash idiot4 dualp partial perturb off presolve more scal dynamics spars off passp -101 subs 741 duals solve
air03,-randomSeed 1000934052 dualize 3 crash off dualp pesteep psi -0.5 perturb on presolve on scal auto spars on pertv 50 passp 5 sprint -1 subs 3 duals solve
air04,-randomSeed 1417466632 dualize 2 crash idiot4 dualp partial perturb off presolve more scal dynamics spars off passp -101 subs 741 duals solve
air04,-randomSeed 1417466632 dualize 3 crash off dualp pesteep psi -0.5 perturb on presolve on scal auto spars on pertv 50 passp 5 sprint -1 subs 3 duals solve
air04,-randomSeed 1214700210 dualize 4 crash lots dualp steep perturb off presolve on scal equi spars off passp -8 subs 2240 duals solve
air05,-randomSeed 1554221762 dualize 4 crash lots dualp steep perturb off presolve on scal equi spars off passp -8 subs 2240 duals solve
air03,-randomSeed 592524708 dualize 4 crash lots dualp steep perturb off presolve on scal equi spars off passp -8 subs 2240 duals solve
air03,-randomSeed 1000934052 dualize 4 crash lots dualp steep perturb off presolve on scal equi spars off passp -8 subs 2240 duals solve
air04,-randomSeed 1417466632 dualize 4 crash lots dualp steep perturb off presolve on scal equi spars off passp -8 subs 2240 duals solve
air04,-randomSeed 1214700210 dualize 3 crash idiot6 dualp pesteep psi 0.7 perturb off presolve off scal off spars off subs 4941 duals solve
air05,-randomSeed 1554221762 dualize 3 crash idiot6 dualp pesteep psi 0.7 perturb off presolve off scal off spars off subs 4941 duals solve
air03,-randomSeed 592524708 dualize 3 crash idiot6 dualp pesteep psi 0.7 perturb off presolve off scal off spars off subs 4941 duals solve
air03,-randomSeed 1000934052 dualize 3 crash idiot6 dualp pesteep psi 0.7 perturb off presolve off scal off spars off subs 4941 duals solve
air04,-randomSeed 1417466632 dualize 3 crash idiot6 dualp pesteep psi 0.7 perturb off presolve off scal off spars off subs 4941 duals solve
air04,-randomSeed 1214700210 dualize 1 crash idiot6 dualp partial perturb off presolve on scal dynamics spars on passp -120 subs 5322 duals solve
air05,-randomSeed 1554221762 dualize 1 crash idiot6 dualp partial perturb off presolve on scal dynamics spars on passp -120 subs 5322 duals solve
air03,-randomSeed 592524708 dualize 1 crash idiot6 dualp partial perturb off presolve on scal dynamics spars on passp -120 subs 5322 duals solve
air03,-randomSeed 1000934052 dualize 1 crash idiot6 dualp partial perturb off presolve on scal dynamics spars on passp -120 subs 5322 duals solve
air04,-randomSeed 1417466632 dualize 1 crash idiot6 dualp partial perturb off presolve on scal dynamics spars on passp -120 subs 5322 duals solve
air04,-randomSeed 1214700210 dualize 4 crash idiot2 dualp pedantzig perturb on presolve on scal dynamics spars off pertv -2129 passp -186 subs 3828 duals solve
air05,-randomSeed 1554221762 dualize 4 crash idiot2 dualp pedantzig perturb on presolve on scal dynamics spars off pertv -2129 passp -186 subs 3828 duals solve
air03,-randomSeed 592524708 dualize 4 crash idiot2 dualp pedantzig perturb on presolve on scal dynamics spars off pertv -2129 passp -186 subs 3828 duals solve
air03,-randomSeed 1000934052 dualize 4 crash idiot2 dualp pedantzig perturb on presolve on scal dynamics spars off pertv -2129 passp -186 subs 3828 duals solve
air04,-randomSeed 1417466632 dualize 4 crash idiot2 dualp pedantzig perturb on presolve on scal dynamics spars off pertv -2129 passp -186 subs 3828 duals solve
air04,-randomSeed 1214700210 dualize 2 crash so dualp pedantzig perturb off presolve off scal dynamics spars off subs 8815 duals solve
air05,-randomSeed 1554221762 dualize 2 crash so dualp pedantzig perturb off presolve off scal dynamics spars off subs 8815 duals solve
air03,-randomSeed 592524708 dualize 2 crash so dualp pedantzig perturb off presolve off scal dynamics spars off subs 8815 duals solve
air03,-randomSeed 1000934052 dualize 2 crash so dualp pedantzig perturb off presolve off scal dynamics spars off subs 8815 duals solve
air04,-randomSeed 1417466632 dualize 2 crash so dualp pedantzig perturb off presolve off scal dynamics spars off subs 8815 duals solve
air04,-randomSeed 1214700210 dualize 4 crash so dualp auto perturb off presolve off scal geo spars off subs 6747 duals solve
air05,-randomSeed 1554221762 dualize 4 crash so dualp auto perturb off presolve off scal geo spars off subs 6747 duals solve
air03,-randomSeed 592524708 dualize 4 crash so dualp auto perturb off presolve off scal geo spars off subs 6747 duals solve
air03,-randomSeed 1000934052 dualize 4 crash so dualp auto perturb off presolve off scal geo spars off subs 6747 duals solve
air04,-randomSeed 1417466632 dualize 4 crash so dualp auto perturb off presolve off scal geo spars off subs 6747 duals solve
air04,-randomSeed 1214700210 dualize 3 crash idiot4 dualp pesteep psi 0.1 perturb on presolve on scal auto spars off pertv -4842 passp 36 subs 8232 duals solve
air05,-randomSeed 1554221762 dualize 3 crash idiot4 dualp pesteep psi 0.1 perturb on presolve on scal auto spars off pertv -4842 passp 36 subs 8232 duals solve
air03,-randomSeed 592524708 dualize 3 crash idiot4 dualp pesteep psi 0.1 perturb on presolve on scal auto spars off pertv -4842 passp 36 subs 8232 duals solve
air03,-randomSeed 1000934052 dualize 3 crash idiot4 dualp pesteep psi 0.1 perturb on presolve on scal auto spars off pertv -4842 passp 36 subs 8232 duals solve
air04,-randomSeed 1417466632 dualize 3 crash idiot4 dualp pesteep psi 0.1 perturb on presolve on scal auto spars off pertv -4842 passp 36 subs 8232 duals solve
air04,-randomSeed 1214700210 dualize 4 crash idiot5 dualp auto perturb on presolve more scal geo spars off pertv -3891 passp -168 subs 3912 duals solve
air05,-randomSeed 1554221762 dualize 4 crash idiot5 dualp auto perturb on presolve more scal geo spars off pertv -3891 passp -168 subs 3912 duals solve
air03,-randomSeed 592524708 dualize 4 crash idiot5 dualp auto perturb on presolve more scal geo spars off pertv -3891 passp -168 subs 3912 duals solve
air03,-randomSeed 1000934052 dualize 4 crash idiot5 dualp auto perturb on presolve more scal geo spars off pertv -3891 passp -168 subs 3912 duals solve
air04,-randomSeed 1417466632 dualize 4 crash idiot5 dualp auto perturb on presolve more scal geo spars off pertv -3891 passp -168 subs 3912 duals solve
air04,-randomSeed 1214700210 dualize 4 crash idiot6 dualp pesteep psi 0.6 perturb off presolve more scal dynamics spars on passp -58 subs 8097 duals solve
air05,-randomSeed 1554221762 dualize 4 crash idiot6 dualp pesteep psi 0.6 perturb off presolve more scal dynamics spars on passp -58 subs 8097 duals solve
air03,-randomSeed 592524708 dualize 4 crash idiot6 dualp pesteep psi 0.6 perturb off presolve more scal dynamics spars on passp -58 subs 8097 duals solve
air03,-randomSeed 1000934052 dualize 4 crash idiot6 dualp pesteep psi 0.6 perturb off presolve more scal dynamics spars on passp -58 subs 8097 duals solve
air04,-randomSeed 1417466632 dualize 4 crash idiot6 dualp pesteep psi 0.6 perturb off presolve more scal dynamics spars on passp -58 subs 8097 duals solve
